Date,AgentID,DepartmentID,SubCategoryID,CityID,Calls_Assigned,Calls_Handled,Calls_Abandoned,Resolutions,ASA_Sec,AHT_Sec,Total_Surveys,CSAT_Avg,Num_Promoters,Num_Passives,Num_Detractors
08-11-2023,2,3,4,5,49,44,5,38,79,286,6,3.43,0,2,4
29-12-2023,13,5,9,1,47,41,6,27,47,764,6,3.45,1,2,3
02-08-2021,11,5,2,2,52,46,6,31,56,463,6,3.11,1,1,4
13-09-2021,3,5,5,7,50,46,4,42,72,498,6,2.65,1,1,4
21-02-2021,2,1,8,4,42,38,4,22,75,370,5,4.1,3,2,0
20-09-2021,19,4,1,8,39,33,6,28,67,412,5,3.75,3,1,1
10-04-2021,7,5,10,6,31,26,5,21,45,523,4,3.02,0,1,3
16-07-2023,17,4,10,13,37,35,2,25,50,491,4,3.86,4,0,0
17-02-2022,12,5,2,10,42,36,6,22,55,582,5,2.74,1,0,4
07-07-2022,9,2,4,4,53,49,4,43,75,636,6,3.14,0,0,6
17-04-2022,19,3,1,12,31,28,3,21,39,587,4,3.56,1,3,0
15-03-2021,12,2,7,11,47,43,4,36,67,237,6,3.17,0,5,1
18-03-2022,10,4,13,12,44,42,2,26,59,409,5,3.24,1,2,2
18-10-2021,5,5,6,1,35,34,1,25,63,493,4,2.55,0,0,4
04-06-2022,15,2,3,13,36,30,6,24,53,624,4,3.12,0,2,2
06-12-2021,14,1,1,12,47,45,2,28,61,729,6,4.16,2,3,1
27-08-2021,3,4,14,4,54,48,6,44,65,617,6,4.5,5,1,0
26-12-2021,11,3,13,13,33,30,3,25,43,686,4,3.29,0,1,3
17-12-2021,12,1,8,5,37,34,3,21,72,652,4,3.54,2,2,0
16-03-2022,12,6,1,11,46,40,6,29,68,490,6,3.38,0,1,5
28-12-2021,13,5,3,7,47,41,6,36,86,582,6,2.9,0,1,5
30-05-2022,18,3,7,4,57,49,8,39,57,571,7,3.14,1,2,4
22-04-2021,2,6,1,8,51,45,6,34,52,341,6,3.54,2,3,1
08-06-2023,10,4,11,4,50,42,8,30,57,351,6,3.93,3,3,0
20-03-2023,11,5,3,4,50,42,8,27,64,583,6,2.88,2,0,4
05-07-2023,9,5,3,7,59,56,3,36,66,472,7,2.91,0,1,6
14-12-2021,17,1,13,2,40,35,5,27,42,543,5,4.67,3,2,0
22-12-2022,19,2,3,4,32,29,3,22,70,499,4,3.06,0,1,3
02-02-2021,18,2,12,7,60,57,3,34,62,565,7,3.15,0,1,6
20-03-2022,9,6,12,7,57,51,6,34,69,651,7,3.24,0,1,6
24-06-2021,17,2,8,13,41,39,2,33,58,562,5,2.98,0,1,4
14-07-2023,19,1,9,8,59,54,5,36,56,371,7,4.37,4,2,1
09-01-2021,11,3,4,5,55,51,4,46,42,552,7,3.7,2,3,2
07-03-2022,13,1,12,12,36,31,5,24,68,269,4,4.64,3,1,0
25-12-2021,18,4,6,4,38,32,6,26,47,476,5,4.22,3,1,1
28-10-2023,2,4,4,6,54,46,8,30,52,170,6,3.4,1,1,4
15-10-2021,19,6,4,8,48,41,7,29,61,564,6,3.94,2,1,3
25-01-2022,8,6,7,7,37,35,2,22,41,620,4,3.75,2,1,1
02-08-2021,6,1,4,10,37,31,6,21,51,317,4,4.26,3,0,1
07-11-2022,18,1,7,4,35,33,2,29,50,522,4,3.75,2,1,1
08-12-2021,8,5,14,12,31,30,1,20,65,524,4,2.34,1,0,3
24-05-2023,11,6,7,4,58,50,8,32,52,334,7,3.75,2,0,5
01-01-2022,6,4,5,10,56,51,5,37,41,630,7,3.92,5,2,0
18-09-2022,6,2,2,10,50,46,4,43,70,479,6,3.16,1,3,2
31-07-2021,16,4,1,4,43,40,3,26,72,461,5,3.21,0,2,3
20-11-2021,7,5,13,13,33,32,1,22,58,621,4,2.47,0,1,3
16-03-2021,15,1,4,13,45,40,5,37,57,470,5,3.98,2,3,0
24-02-2022,5,4,2,1,34,29,5,24,54,383,4,3.82,2,2,0
06-05-2022,7,1,5,4,51,46,5,39,74,433,6,4.1,2,4,0
25-12-2022,18,1,2,13,44,39,5,27,61,467,5,4.39,4,0,1
03-07-2022,6,3,3,3,45,40,5,25,53,599,5,3.32,1,2,2
08-10-2023,12,2,6,4,37,35,2,28,70,506,4,3.13,1,1,2
20-04-2023,18,2,6,4,42,35,7,27,52,590,5,2.49,0,1,4
09-07-2023,16,6,11,2,36,33,3,20,44,489,4,3.86,1,2,1
02-02-2021,12,5,9,13,41,38,3,25,66,496,5,2.98,3,1,1
11-02-2021,12,2,5,3,35,33,2,29,58,693,4,2.82,0,1,3
07-12-2022,11,6,2,6,31,27,4,25,83,451,4,3.33,1,1,2
13-03-2022,5,4,1,2,55,53,2,40,66,334,7,3.69,4,1,2
14-01-2023,2,1,4,6,48,42,6,34,68,570,6,4.32,4,2,0
25-06-2021,2,1,4,9,54,46,8,27,42,499,6,4.36,3,1,2
15-07-2021,2,3,5,2,36,32,4,19,74,465,4,3.4,0,1,3
30-04-2022,11,6,1,8,57,49,8,37,46,584,7,3.95,2,3,2
29-07-2023,12,2,11,9,54,52,2,35,74,353,6,3,1,2,3
01-04-2022,8,3,1,13,30,29,1,26,63,449,4,3.96,1,2,1
02-04-2022,18,3,5,6,59,55,4,35,43,412,7,3.77,3,3,1
21-07-2021,12,3,8,6,54,51,3,47,52,590,6,3.41,0,3,3
29-10-2023,3,4,12,5,54,49,5,39,62,692,6,3.94,1,3,2
